,0.625 MHz,1.25 MHz,1.875 MHz,2.5 MHz,3.125 MHz,3.75 MHz,4.375 MHz,5 MHz,5.625 MHz,6.25 MHz
10662,13568,14336,8448,-2048,10240,-13824,12544,-14592,-512,14080
10663,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10664,-4352,-7168,1280,-15872,10240,-12032,-4608,15104,14592,14080
10665,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10666,-16128,-2816,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10667,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10668,-5632,11520,15616,11008,10240,15872,13056,512,-8704,14080
10669,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10670,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10671,16128,-2816,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10672,13568,14336,8448,-2048,10240,-13824,12544,-14592,-512,14080
10673,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10674,-4352,-7168,1280,-15872,10240,-12032,-4608,15104,14592,14080
10675,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10676,-16128,-2816,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10677,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10678,-5632,11520,15616,11008,10240,15872,12800,512,-8704,14080
10679,4352,-7168,-1280,-15872,-10240,-12032,4608,15104,-14592,14080
10680,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10681,16128,-2816,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10682,13568,14336,8448,-2048,10240,-13824,12544,-14592,-256,14080
10683,5632,11520,-15872,11008,-10240,15872,-13056,512,8704,14080
10684,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10685,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10686,-16128,-2560,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10687,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10688,-5632,11520,15616,11008,10240,15872,13056,512,-8704,14080
10689,4352,-7168,-1280,-15872,-10240,-11776,4608,15104,-14592,14080
10690,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
10691,16128,-2816,10496,-7680,-10240,6400,5120,-9472,-9472,14080
10692,13568,14336,8448,-2048,10240,-13824,12544,-14848,-256,14080
10693,5632,11520,-15616,11008,-10240,15872,-13056,512,8704,14080
10694,-4352,-7168,1280,-15872,10240,-11776,-4608,15104,14592,14080
10695,-12800,-16128,14848,14592,-10240,3328,15872,8704,14848,14080
10696,-16128,-2816,-10496,-7680,10240,6400,-5120,-9472,9472,14080
10697,-13568,14336,-8448,-2048,-10240,-13824,-12544,-14848,256,14080
10698,-5632,11520,15616,11008,10240,15872,13056,512,-8704,14080
10699,4352,-7168,-1280,-15872,-10240,-11776,4608,15104,-14592,14080
10700,12800,-16128,-14848,14592,10240,3328,-15872,8704,-14848,14080
